aliasNames,shortName
attribution-sharealike 3.0 unported,spdx/CC-BY-3.0
autoconf exception 2.0,spdx/Autoconf-exception-2.0
autoconf exception 3.0,spdx/Autoconf-exception-3.0
autoconf-exception-2.0,spdx/Autoconf-exception-2.0
autoconf-exception-3.0,spdx/Autoconf-exception-3.0
available under the mpl 2.0 (mozilla public license version 2.0) or under the epl 1.0 (eclipse public license),MPL-2.0 + EPL-1.0
bahyph,spdx/Bahyph
bahyph license,spdx/Bahyph
barr,spdx/Barr
barr license,spdx/Barr
bea jsr 173 ri,Approved/Java Specification Participation Agreement
bea.ri.jsr173,Approved/Java Specification Participation Agreement
beer-ware,spdx/Beerware
beerware,spdx/Beerware
beerware license,spdx/Beerware
beerware?42,spdx/Beerware
beopen / cnri license,spdx/CNRI-Python
beopen python open source license agreement version 1,spdx/Python-2.0
beopen.com license agreement for python 2.0,spdx/Python-2.0
berkeley database license,spdx/Sleepycat
berkeley software distribution (bsd) license,spdx/BSD-3-Clause-LBNL
berkeleydb,FSF/BerkeleyDB
binary code license agreement and supplemental license,Approved/Oracle Binary Code License Agreement
binary code license agreement for the java 2 platform standard edition runtime environment,Approved/Oracle Binary Code License Agreement
bison exception,spdx/GPL-2.0-with-bison-exception
bison exception 2.2,spdx/Bison-exception-2.2
bison-exception-2.2,spdx/Bison-exception-2.2
bitstream (see below),Approved/Arev Fonts License
bittorrent,spdx/BitTorrent-1.1
bittorrent open source license,spdx/BitTorrent-1.1
bittorrent open source license v1.0,spdx/BitTorrent-1.0
bittorrent open source license v1.1,spdx/BitTorrent-1.1
bittorrent-1.0,spdx/BitTorrent-1.0
bittorrent-1.1,spdx/BitTorrent-1.1
bittorrentosl1.1,spdx/BitTorrent-1.1
boost software license,spdx/BSL-1.0
boost software license 1.0,spdx/BSL-1.0
bootloader distribution exception,spdx/Bootloader-exception
bootloader-exception,spdx/Bootloader-exception
borceux,spdx/Borceux
borceux license,spdx/Borceux
bouncy castle licence,Approved/MIT + donation for Bouncy Castle License
bouncy castle license,Approved/MIT + donation for Bouncy Castle License
bouncycastle,Approved/MIT + donation for Bouncy Castle License
bouncycastle license,Approved/MIT + donation for Bouncy Castle License
bsd,spdx/BSD-3-Clause
bsd 1-clause license,spdx/BSD-1-Clause
bsd 2,spdx/BSD-2-Clause
bsd 2-clause,spdx/BSD-2-Clause
"bsd 2-clause ""simplified"" license",spdx/BSD-2-Clause
bsd 2-clause 'simplified' license,spdx/BSD-2-Clause
bsd 2-clause freebsd license,spdx/BSD-2-Clause-FreeBSD
bsd 2-clause license,spdx/BSD-2-Clause
bsd 2-clause netbsd license,spdx/BSD-2-Clause-NetBSD
bsd 2-clause simplified license,spdx/BSD-2-Clause
"bsd 2-clause simplified"" license",spdx/BSD-2-Clause
bsd 3,spdx/BSD-3-Clause
bsd 3-clause,spdx/BSD-3-Clause
"bsd 3-clause ""new"" or ""revised"" license",spdx/BSD-3-Clause
bsd 3-clause 'new' or 'revised' license,spdx/BSD-3-Clause
bsd 3-clause clear license,spdx/BSD-3-Clause-Clear
bsd 3-clause license,spdx/BSD-3-Clause
bsd 3-clause license w/nuclear disclaimer,spdx/BSD-3-Clause-No-Nuclear-Warranty
bsd 3-clause new license,spdx/BSD-3-Clause
"bsd 3-clause new"" or ""revised"" license",spdx/BSD-3-Clause
bsd 3-clause no nuclear license,spdx/BSD-3-Clause-No-Nuclear-License
bsd 3-clause no nuclear license 2014,spdx/BSD-3-Clause-No-Nuclear-License-2014
bsd 3-clause no nuclear warranty,spdx/BSD-3-Clause-No-Nuclear-Warranty
"bsd 4-clause ""original"" or ""old"" license",spdx/BSD-4-Clause
bsd 4-clause 'original' or 'old' license,spdx/BSD-4-Clause
bsd licence,spdx/BSD-3-Clause
bsd licence 3,spdx/BSD-3-Clause
bsd license,spdx/BSD-3-Clause
"bsd license,postgresql",spdx/PostgreSQL
"bsd or apache license, version 2.0",Approved/Apache-2.0 + BSD-3-Closuer
"bsd or the apache software license, version 2.0",Approved/Apache-2.0 + BSD-3-Closuer
bsd protection license,spdx/BSD-Protection
bsd source code attribution,spdx/BSD-Source-Code
bsd style,spdx/BSD-3-Clause
bsd style license,spdx/BSD-3-Clause
"bsd style, 3 clauses.",spdx/BSD-3-Clause
bsd with attribution,spdx/BSD-3-Clause-Attribution
bsd zero clause license,spdx/0BSD
bsd(newer_gpl_w/cpe),spdx/GPL-2.0-with-classpath-exception
bsd+patent,spdx/BSDplusPatent
"bsd, see license",spdx/BSD-3-Clause
bsd-1-clause,spdx/BSD-1-Clause
bsd-2 license,spdx/BSD-2-Clause
bsd-2-clause,spdx/BSD-2-Clause
bsd-2-clause plus patent license,spdx/BSD-2-Clause-Patent
bsd-2-clause-freebsd,spdx/BSD-2-Clause-FreeBSD
bsd-2-clause-netbsd,spdx/BSD-2-Clause-NetBSD
bsd-2-clause-patent,spdx/BSD-2-Clause-Patent
bsd-3 [see license.txt],spdx/BSD-3-Clause
bsd-3 clause,spdx/BSD-3-Clause
bsd-3 license,spdx/BSD-3-Clause
bsd-3-clause,spdx/BSD-3-Clause
bsd-3-clause ,spdx/BSD-3-Clause
bsd-3-clause-attribution,spdx/BSD-3-Clause-Attribution
bsd-3-clause-clear,spdx/BSD-3-Clause-Clear
bsd-3-clause-lbnl,spdx/BSD-3-Clause-LBNL
bsd-3-clause-no-nuclear-license,spdx/BSD-3-Clause-No-Nuclear-License
bsd-3-clause-no-nuclear-license-2014,spdx/BSD-3-Clause-No-Nuclear-License-2014
bsd-3-clause-no-nuclear-warranty,spdx/BSD-3-Clause-No-Nuclear-Warranty
bsd-4 license,spdx/BSD-4-Clause
bsd-4-clause,spdx/BSD-4-Clause
bsd-4-clause (university of california-specific),spdx/BSD-4-Clause-UC
bsd-4-clause-uc,spdx/BSD-4-Clause-UC
bsd-compatible license,spdx/BSD-3-Clause
bsd-ecmascript,Approved/BSD-3-Clause for Ecma International
bsd-like,spdx/BSD-3-Clause
bsd-new,spdx/BSD-3-Clause
bsd-protection,spdx/BSD-Protection
bsd-source-code,spdx/BSD-Source-Code
bsd-style,spdx/BSD-3-Clause
bsd-style license,spdx/BSD-3-Clause
bsd_2_clause,spdx/BSD-2-Clause
bsd_3_clause,spdx/BSD-3-Clause
bsl-1.0,spdx/BSL-1.0
"but the special requirements of the gnu affero general public license, section ",spdx/GPL-3.0
byol - bring your own license,Approved/BYOL and Oversubscription
bzip2 and libbzip2 license v1.0.5,spdx/bzip2-1.0.5
bzip2 and libbzip2 license v1.0.6,spdx/bzip2-1.0.6
bzip2-1.0.5,spdx/bzip2-1.0.5
bzip2-1.0.6,spdx/bzip2-1.0.6
c3p0 jdbc library license,Approved/LGPL-2.1 + EPL-1.0 licensing NOTICE
caldera,spdx/Caldera
caldera license,spdx/Caldera
catosl-1.1,spdx/CATOSL-1.1
cc by 3.0,spdx/CC-BY-3.0
cc by 4.0,spdx/CC-BY-4.0
cc by-nc 3.0,spdx/CC-BY-NC-3.0
cc by-nc 4.0,spdx/CC-BY-NC-4.0
cc by-nc-nd 3.0 us,Approved/CC-BY-NC-ND-3.0-US
cc by-nc-nd 4.0,Approved/CC-BY-NC-ND-3.0-US
cc by-nc-sa 3.0,spdx/CC-BY-NC-SA-3.0
cc by-nc-sa 4.0,spdx/CC-BY-NC-SA-4.0
cc by-sa 2.0,spdx/CC-BY-SA-2.0
cc by-sa 2.5,spdx/CC-BY-SA-2.5
cc by-sa 3.0,spdx/CC-BY-SA-3.0
cc by-sa 3.0 us,Approved/CC-BY-SA-3.0-US
cc by-sa 4.0,spdx/CC-BY-SA-4.0
cc by-sa-3.0,spdx/CC-BY-SA-3.0
cc-by-1.0,spdx/CC-BY-1.0
cc-by-2.0,spdx/CC-BY-2.0
cc-by-2.5,spdx/CC-BY-2.5
